Setting files loaded successfully !!!
Device being used for training : cuda:0
1281167
1281167
50000
50000
current lr 1.00000e-01
Epoch: [1][4650/10010]	Time 1.006 (1.079)	Data 0.610 (0.683)	Loss 5.1057 (5.8635)	Prec@1 4.688 (3.535)
Epoch: [1][4700/10010]	Time 1.068 (1.079)	Data 0.672 (0.683)	Loss 5.0703 (5.8554)	Prec@1 4.688 (3.577)
Epoch: [1][4750/10010]	Time 1.058 (1.079)	Data 0.661 (0.683)	Loss 5.1791 (5.8471)	Prec@1 6.250 (3.622)
Epoch: [1][4800/10010]	Time 1.121 (1.080)	Data 0.724 (0.683)	Loss 5.3650 (5.8390)	Prec@1 6.250 (3.667)
Epoch: [1][4850/10010]	Time 1.120 (1.080)	Data 0.724 (0.683)	Loss 4.8890 (5.8311)	Prec@1 7.031 (3.715)
Epoch: [1][4900/10010]	Time 1.090 (1.080)	Data 0.694 (0.683)	Loss 5.3653 (5.8230)	Prec@1 4.688 (3.755)
Epoch: [1][4950/10010]	Time 1.092 (1.080)	Data 0.696 (0.684)	Loss 5.3463 (5.8150)	Prec@1 2.344 (3.801)
Epoch: [1][5000/10010]	Time 1.138 (1.081)	Data 0.742 (0.684)	Loss 5.0892 (5.8070)	Prec@1 7.031 (3.850)
Epoch: [1][5050/10010]	Time 1.132 (1.082)	Data 0.736 (0.685)	Loss 5.2072 (5.7992)	Prec@1 8.594 (3.894)
Epoch: [1][5100/10010]	Time 1.057 (1.082)	Data 0.662 (0.686)	Loss 5.2559 (5.7911)	Prec@1 6.250 (3.939)
Epoch: [1][5150/10010]	Time 1.103 (1.083)	Data 0.707 (0.686)	Loss 5.1717 (5.7837)	Prec@1 9.375 (3.983)
Epoch: [1][5200/10010]	Time 1.070 (1.083)	Data 0.675 (0.687)	Loss 4.8427 (5.7762)	Prec@1 9.375 (4.030)
Epoch: [1][5250/10010]	Time 1.058 (1.084)	Data 0.663 (0.687)	Loss 5.2179 (5.7685)	Prec@1 6.250 (4.074)
Epoch: [1][5300/10010]	Time 1.119 (1.085)	Data 0.724 (0.688)	Loss 5.0537 (5.7608)	Prec@1 5.469 (4.122)
Epoch: [1][5350/10010]	Time 1.744 (1.085)	Data 1.348 (0.689)	Loss 4.8025 (5.7531)	Prec@1 9.375 (4.168)
Epoch: [1][5400/10010]	Time 1.135 (1.086)	Data 0.739 (0.689)	Loss 4.8115 (5.7456)	Prec@1 8.594 (4.215)
Epoch: [1][5450/10010]	Time 1.225 (1.086)	Data 0.829 (0.690)	Loss 4.7480 (5.7383)	Prec@1 10.156 (4.257)
Epoch: [1][5500/10010]	Time 1.075 (1.087)	Data 0.680 (0.690)	Loss 4.8389 (5.7305)	Prec@1 6.250 (4.304)
Epoch: [1][5550/10010]	Time 1.098 (1.087)	Data 0.703 (0.690)	Loss 5.0092 (5.7233)	Prec@1 10.156 (4.349)
Epoch: [1][5600/10010]	Time 1.094 (1.087)	Data 0.699 (0.690)	Loss 4.7402 (5.7159)	Prec@1 9.375 (4.393)
Epoch: [1][5650/10010]	Time 1.129 (1.087)	Data 0.733 (0.691)	Loss 4.4722 (5.7087)	Prec@1 10.156 (4.438)
Epoch: [1][5700/10010]	Time 1.044 (1.088)	Data 0.649 (0.691)	Loss 4.8323 (5.7014)	Prec@1 12.500 (4.490)
